,Genome ID,Genome Name,gram,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Source,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
2858,203.1,Campylobacter rectus strain ATCC 33238,negative,,203,Complete,ATCC 33238,,,,,,,,2020-04-23T00:00:00Z,,PRJNA284987,SAMN03737987,GCA_004803795.1,,CP012543,,"USDA, ARS, WRRC",,Sanger dideoxy sequencing; 454; Illumina;,814x,Newbler v. 2.6,1,,1,2571679,44.719734,3081,2276,Mouth,oral,,1974,USA,USA: Boston,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,This genome is part of a larger study to sequence the genomes of all validly-described taxa within the genus Campylobacter,sample_type:cell culture,97,96.5,,,,Good,2020-06-03T10:59:10.731Z,2020-06-03T10:59:10.731Z
3085,210.8698,Helicobacter pylori strain 3192,negative,,210,Complete,3192,,,,,,,,2021-11-21T00:00:00Z,,PRJNA773563,SAMN22488069,GCA_020906585.1,,CP086760,,Shanghai Jiao Tong University,,Illumina; Oxford Nanopore,604.0x,Unicycle v. v0.4.9,1,,1,1637585,38.718845,1627,1521,None,,,1/1/20,,China,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,Helicobacter pylori 3192,sample_type:human,99.9,99.6,,,,Good,2021-12-24T23:35:20.610Z,2021-12-24T23:35:20.610Z
3138,213.62,Helicobacter cinaedi strain 2017D-0197,negative,,213,Complete,2017D-0197,,,,MLST.Helicobacter_cinaedi.4,,,,2020-10-26T00:00:00Z,,PRJNA239251,SAMN15354330,GCA_014931155.1,,CP063086,,Centers for Disease Control and Prevention,,PacBio,231.939x,HGAP v. 3,1,,1,2218389,38.32768,2392,2227,Blood,blood,,24-Sep-17,USA,USA: GA,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Campylobacter genome sequencing,sample_type:isolate,99.3,98,,,,Good,2021-01-01T15:36:05.912Z,2021-01-01T15:36:05.912Z
3210,263.91,Francisella tularensis strain T01,negative,,263,Complete,T01,,,,,,,,2015-10-26T00:00:00Z,,PRJNA288396,SAMN03799293,GCF_001412545.1,,CP012092,,Beijing Institute of Microbiology and Epidemiology,,Illumina,150.0x,Velvet v. 1.1,,,1,1899676,31.97,2174,1663,None,clinical,,1/1/52,China,China:Tibet,,,,,,"Human, Homo sapiens",,,tularemia,,,,,,,,,,,C,,,,,To study the origin and radiation of type B tularemia in Tibet China,collected_by:Lihua Song,99.6,97.6,100,4,,Good,2016-01-17T17:39:31.131Z,2016-01-17T17:39:31.131Z
3212,264.27,Francisella tularensis subsp. novicida strain TCH2015,negative,,264,Complete,TCH2015,,,,,,,,2018-02-12T00:00:00Z,,PRJNA378245,SAMN06481648,GCA_002952075.1,,CP021490,,BCM,,PacBio,260.51x,SMRT Analysis RS_HGAP_Assembly.2 v.,1,,1,2000087,32.354744,1932,1879,Lymph Node,patient believed to have been infected in Guatemala,isolated from the lymph node of a 6-year-old boy from Guatemala and isolated in Texas,15-Dec,USA,"USA: Houston, TX",,,,,env_biome:lymph node,"Human, Homo sapiens",,6 years,,,,,,,,,,,,,,,,,"TCH2015 was isolated from the lymph node of a 6-year-old boy from Guatemala and isolated in Texas. Source of infection is unknown, but may potentially have ben acquired from contaminated ocean, canal, or shower water.",,99.6,98.8,100,0.8,,Good,2018-05-26T01:56:02.854Z,2018-05-26T01:56:02.854Z
3767,287.9884,Pseudomonas aeruginosa strain GIMC5002:PAT-169,negative,,287,Complete,GIMC5002:PAT-169,,,,MLST.Pseudomonas_aeruginosa.235,genotype:ST235,,,2019-09-11T00:00:00Z,,PRJNA562821,SAMN12651335,GCA_008370085.1,,"CP043549,CP043548",,N.F.Gamaleya National Research Center for Epidemiology and Microbiology,,454; Illumina,69,CLC Genomics Workbench v. 12.0,1,1,2,6499077,65.90276,6185,6128,Urine,urina,,9-Dec,Russia,Russia: Moscow,,,,,,"Human, Homo sapiens",,,no data,,,,Resistant,Computational Prediction,,,,,,,,,,,Nosocomial Pseudomonas aeruginosa stain,collected_by:Gabrielyan N.I.,99.3,97.9,,,,Good,2019-10-02T06:41:07.056Z,2019-10-02T06:41:07.056Z
3785,292.297,Burkholderia cepacia strain 39628,negative,,292,Complete,39628,,,,,,,,2020-10-06T00:00:00Z,,PRJNA438725,SAMN08724754,GCA_014854795.1,,"CP032009,CP032011,CP032010",,"University of Nevada, Reno",,PacBio,16.04X,"SMRT v. 2.3.0, HGAP v. 3",3,,3,8403907,66.80368,8278,8437,Sputum,sputum,,8-Apr-14,Laos,Laos,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Identification of Burkholderia cepacia strains expressing a unique capsular polysaccharide antigen.,sample_type:bactera,99.4,93.9,,,,Good,2020-11-29T05:30:03.775Z,2020-11-29T05:30:03.775Z
3800,294.494,Pseudomonas fluorescens strain NCTC9428,negative,,294,Complete,NCTC9428,not available: to be reported later,,,,,NCTC:9428,,2018-12-19T00:00:00Z,,PRJEB6403,SAMEA3881054,GCA_900636825.1,,LR134318,,SC,,,,,1,,1,6033966,58.964104,5636,5345,None,not available: to be reported later,,1900/1954,United Kingdom,United Kingdom: London,,,,,,"Human, Homo sapiens",,,,,,host_health_state:not available: to be reported later,,,,,,,,,,,,,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,,99.4,97.4,,,,Good,2019-02-01T13:48:01.728Z,2019-02-01T13:48:01.728Z
3913,303.754,Pseudomonas putida strain SWMUB4,negative,,303,Complete,SWMUB4,,,,,,,,2020-11-02T00:00:00Z,,PRJNA668445,SAMN16409504,GCA_015168335.1,,"CP063456,CP063457",,Southwest Medical University,,Oxford Nanopore,150.0x,Canu v. 1.5,1,1,2,6024098,62.51077,5627,,None,,,10/25/18,China,"China: No. 319, Zhongshan Road, Luzhou, Sichuan",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Genome sequence of Pseudomonas putida SWMUB4,sample_type:whole organism,98.7,96.8,,,,Good,2020-11-30T02:19:25.976Z,2020-11-30T02:19:25.976Z
3919,316.574,Pseudomonas stutzeri strain ZDHY95,negative,,316,Complete,ZDHY95,,,,,,,,2020-11-24T00:00:00Z,,PRJNA669156,SAMN16439930,GCA_015680045.1,,"CP063358,CP063359",,The First Affiliated Hospital of Zhengzhou University,,Oxford Nanopore; Illumina NovaSeq,200.0x,Unicycler v. v0.4.7; SPAdes v. v3.9.1,1,1,2,4588580,63.95532,4363,4261,Cerebrospinal Fluid,cerebrospinal fluid,,20-Apr-19,China,China:Henan,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Pseudomonas stutzeri with plasmid co-producing blaVIM-2 and blaCARB-4,sample_type:Cerebrospinal fluid,98.6,96,,,,Good,2021-01-01T16:58:10.235Z,2021-01-01T16:58:10.235Z
4214,446.995,Legionella pneumophila strain 80-045,negative,,446,Complete,80-045,,,,,,,,2021-08-13T00:00:00Z,,PRJDB12006,SAMD00393827,GCA_019974095.1,,AP024961,,"Department of Bacteriology I, National Institute of Infectious Diseases",,Illumina MiSeq; ONT MinION,91x,Unicycler v. 0.4.8,1,,1,3438257,38.24708,3216,2994,Lung,lung,,1980,,Japan,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,Whole-genome sequencing of Legionella pneumophila strain 80-045 that caused the first case of Legionnaires' disease in Japan,,99.8,99.3,,,,Good,2021-11-30T03:52:09.963Z,2021-11-30T03:52:09.963Z
4219,450.9,Legionella longbeachae strain B41211CHC,negative,,450,Complete,B41211CHC,1,,,,,,,2020-03-19T00:00:00Z,,PRJNA577762,SAMN13042258,GCA_011465395.1,,"CP045308,CP045307",,Canterbury Health Laboratories,,Oxford Nanopore GridION; Illumina MiSeq,250.0x,Flye v. 2.4.2; Unicycler v. 0.4.7,1,1,2,4077247,37.14406,3827,3469,Sputum,Sputum sample,"derived from patients hospitalized with LD in Christchurch, New Zealand",19-Sep-09,New Zealand,New Zealand: Christchurch,,,,,,"Human, Homo sapiens",,,Pneumonia,,,,,,,,,,,,,,,,"Legionella longbeachae serogroup 1, predominantly found in soil and composted plant material, causes the majority of cases of Legionnaires’ disease (LD) in New Zealand. The goal of this study is to produce complete genome sequence of L. longbeachae serogroup 1 isolates derived from patients hospitalized with LD in Christchurch, New Zealand.",collected_by:Cantebury Health Laboratories,96.6,94.3,,,,Good,2020-03-27T23:09:55.563Z,2020-03-27T23:09:55.563Z
4222,451.12,Tatlockia micdadei strain NZ2016,negative,,451,Complete,NZ2016,,,,,,,,2017-04-11T00:00:00Z,,PRJNA380664,SAMN06645976,,,CP020615,,University of Canterbury,,PacBio RS II,225x,Canu v. 1.3,1,,1,3250164,40.51,3079,2840,None,,,2016,New Zealand,New Zealand: Waikato,,,,,env_biome:not applicable,"Human, Homo sapiens",female,55,,,,,,,,,,,,,,,,,"Legionella is a large, highly diverse genus of pathogenic bacteria that globally infect amoeba and human macrophages, where they cause a severe form of pneumonia known as Legionnaire’s disease. While Legionella pneumophila and Legionella longbeachae species are responsible for the majority of these cases, some have been attributed to the relatively unstudied Legionella micdadei. The full genomes of two clinical isolates of L. micdadei from New Zealand's north and south islands were sequenced in order to explore their pathogenicity and the genomic diversity of the Legionella genus.",,97,93.9,100,6,,Good,2017-05-28T13:12:46.832Z,2017-05-28T13:12:46.832Z
4526,470.9821,Acinetobacter baumannii strain AbCAN2,negative,,470,Complete,AbCAN2,,,,,,,,2020-01-07T00:00:00Z,,PRJNA575861,SAMN12912378,GCA_009833005.1,,CP045428,,Washington University School of Medicine,,PacBio,311.0x,HGAP v. 2016-02-25,1,,1,3809822,39.038544,3729,3559,Tailbone,Coccygeal isolate,,2015,Canada,Canada: Edmonton,,,,,,"Human, Homo sapiens",,,Infection,,,,Susceptible,Computational Prediction,,,,,,,,,,,Genome annotation of Acinetobacter baumannii pathogenic isolate,collected_by:University of Alberta Hospital,96.9,95.4,,,,Good,2020-02-01T00:28:50.782Z,2020-02-01T00:28:50.782Z
4550,480.345,Moraxella catarrhalis strain 5P47B2,negative,,480,Complete,5P47B2,,,,MLST.Moraxella_catarrhalis.544,,,,2018-12-26T00:00:00Z,,PRJNA509208,SAMN10536188,GCA_003971365.1,,CP034666,,"Institute for Genome Sciences, University of Maryland, Baltimore",,PacBio Sequel,29x,canu v. 1.4,1,,1,1933669,41.50043,1989,2002,Sputum,sputum,,7-Jan-99,USA,"USA: Buffalo, NY",,,,,,"Human, Homo sapiens",,,chronic obstructive pulmonary disease,,,,,,,,,,,,,,,,"Moraxella catarrhalis persists in COPD with profound clinical and pathogenetic consequences. Most strains express the major surface antigen Hag/MID on acquisition and then shut off expression, suggesting that Hag/MID is critical for initial colonization and cessation of expression facilitates persistence. Genomes sequences are used to analyze changes in DNA associated with adhesin expression.","collected_by:Univerty at Buffalo, T. Murphy",99.6,99,,,,Good,2019-01-31T19:43:47.675Z,2019-01-31T19:43:47.675Z
4571,483.52,Neisseria cinerea strain FDAARGOS_871 strain Not applicable,negative,,483,Complete,Not applicable,,,,MLST.Neisseria_spp.9338,,DSM:4630,,2020-12-14T00:00:00Z,,PRJNA231221,SAMN13450401,GCA_016028715.1,,CP065726,,US Food and Drug Administration,,Pacbio; Illumina,2111x,"SMRT v. 6.0.0, HGAP v. 4",1,,1,1832901,50.902096,1929,1749,None,,,,,,,,,,,,,,,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:DSMZ,99.5,99.3,,,,Good,2021-01-01T19:32:35.039Z,2021-01-01T19:32:35.039Z
4627,485.9947,Neisseria gonorrhoeae strain CT213,negative,,485,Complete,CT213,,,,,,,,2021-07-28T00:00:00Z,,PRJNA607374,SAMN14131123,GCA_019380275.1,,"CP048929,CP048930,CP048931,CP048932",,"Faculty of Medicine Siriraj Hospital, Mahidol University",,Illumina NovaSeq and Oxford Nanopore,1566.400443x,Unicycler v. 0.4.4,1,3,4,2219615,52.50523,2680,2226,Urine,urethra,,1/15/10,Thailand,Thailand: Bangkok,,,,,,Homo sapiens,,15,gonorrhea,,,,,,,,,,,,,,,,To explore the genomic dynamics of co-evolution between Neisseria gonorrhoeae and Schaalia turicensis,collected_by:Natakorn Nokchan,99.3,98.6,,,,Good,2021-08-26T12:45:48.174Z,2021-08-26T12:45:48.174Z
4630,486.36,Neisseria lactamica strain Y92-1009,negative,,486,Complete,Y92-1009,,,,,,,,2017-03-07T00:00:00Z,,PRJNA331097,SAMN05437355,GCF_002022745.1,,CP019894,NZ_CP019894.1,University of Southampton,,PacBio; Illumina HiSeq,300.0x,Celera Assembler v. 2015-APR,1,,1,2146723,52.34,2412,,Respiratory,Nasopharynx,isolated during the course of a carriage study from the nasopharynx of a young child in Ireland in 1992,11-Oct,United Kingdom,United Kingdom: Sheffield,,,,,env_biome:Human Body,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"We present the high quality draft assembly of a sample of N.lactamica Y92-1009 (accession number) cell bank purified stock used to artificially induce nasopharyngeal carriage in humans. This gram negative, dipplococcoid bacterium is an organism of worldwide clinical interest due to its observed inverse carriage relationship with the meningococcus, principle agent of bacterial meningitis, in young children. The organism was originally isolated during the course of a carriage study from the nasopharynx of a young child in Ireland in 1992. This SMRT cell sequenced draft assembly consists of a single contig corrected using reads sequenced on Illumina Miseq 2000 of the same isolate.",,99.5,99.3,100,,,Good,2017-03-20T08:59:58.380Z,2017-03-20T08:59:58.380Z
4741,487.517,Neisseria meningitidis strain NMA510612,negative,,487,Complete,NMA510612,,,,,,,,2014-05-21T00:00:00Z,24812217,PRJNA239655,SAMN02709031,GCF_000626595.1,,CP007524,NZ_CP007524.1,"Institute of Pathogen Biology, CAMS",,Sanger dideoxy sequencing; 454,,Newbler v. 2.6,1,,1,2188020,51.83,2494,2461,Throat,throat swab,,30-Apr-06,China,China,,,,,,"Human, Homo sapiens",,,bacterial meningitis,,,,,,Negative,Cocci,,,,,,,,,to understand the genetic background of serogroup A neisseria meningitidis isolate,"isolate:patient;collected_by:Xu, Li",99.6,99.3,100,,,Good,2016-01-17T15:34:50.647Z,2016-01-17T15:34:50.647Z
4744,488.146,Neisseria mucosa strain FDAARGOS_758 strain Not applicable,negative,,488,Complete,Not applicable,,,,MLST.Neisseria_spp.10149,,FDA:FDAARGOS_758,,2020-06-04T00:00:00Z,,PRJNA231221,SAMN11056473,GCA_013267835.1,,CP053939,,US Food and Drug Administration,,Pacbio; Illumina,1389.17x,"SMRT v. 2.3.0, HGAP v. 3",1,,1,2224757,49.657288,2223,2044,Sputum,expectorated sputum,,,USA,USA:VA,,,,,,"Human, Homo sapiens",male,31Y,Cystic fibrosis,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.","collected_by:BEI Resources, American Type and Culture Collection (ATCC)",97.7,96.5,,,,Good,2020-07-01T03:54:07.580Z,2020-07-01T03:54:07.580Z
4753,490.6,Neisseria sicca strain FDAARGOS_260,negative,,490,Complete,FDAARGOS_260,,,,,,FDA:FDAARGOS_260,,2017-03-29T00:00:00Z,,PRJNA231221,SAMN04875586,,,CP020452,,US Food and Drug Administration,,PacBio,16.04441661x,HGAP v. 3,1,,1,2783913,50.95,3074,2678,Blood,Blood,,15-Sep-14,USA,USA:DC,,,,,,"Human, Homo sapiens",male,42Y,Infection with Neisseria sicca,,,,,,,,,,,,,,,,"FDA, in collaboration with the National Center for Biotechnology Information (NCBI), the Department of Defense (DoD) and the Institute for Genome Sciences at the University of Maryland, established a publicly available, well-curated reference database (FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences; BioProject 231221) of regulatory-grade-quality sequences from diverse infectious microorganisms. This database, which is still growing, comprises data collected from multiple collaborators. Diagnostic test manufacturers develop sequence-based tests to identify infectious agents and/or to detect resistance or virulence markers; will use this database to advance their development programs and to support the regulatory science review of such tests. This work will facilitate the development of these tests, which are aimed at improving patient outcomes. Continued success of the database and adoption by the community is contingent on populating and curating the database, which in turn will support development of guidance and standards for clinical use of this technology. Discussions held at a relating public workshop on advancing regulatory science for high throughput sequencing devices for microbial identification and detection of antimicrobial resistance markers were essential to establish the safety and effectiveness of these devices.",collected_by:George Washington University,99.2,98.4,100,1.3,,Good,2017-05-28T05:26:23.396Z,2017-05-28T05:26:23.396Z
